単語,読み方
鱗,うろこ
鳶,とんび
鵜呑み,うのみ
鶏冠,とさか
鶯,うぐいす
鷹,たか
鹿島田,かしまだ
麦粒腫,ばくりゅうしゅ
麦芽,ばくが
麻酔,ますい
黄褐色,おうかっしょく
黄金分割,おうごんぶんかつ
黎明,れいめい
鼓膜,こまく
齷齪,あくせく
（干支）丑,うし
（干支）亥,い
（干支）午,うま
（干支）卯,う
（干支）子,ね
（干支）寅,とら
（干支）巳,み
（干支）戌,いぬ
（干支）未,ひつじ
（干支）申,さる
（干支）辰,たつ
（干支）酉,とり
