Deutsch,Wortart,Thailändisch,Add Reverse
oder,Konj.,หรือ (o),y
öffnen,V.,เปิด,y
oft,Adv.,บ่อย ๆ (!m),y
ohne,Adv.,ไม่เอา ปราศจาก 無しで,y
passieren,V.,เกิดขึ้น,y
peinlich,Adj.,น่าอาย น่าขายหน้า,y
persönlich,Adj.,ที่เป็นส่วนตัว,y
plötzlich,Adv.,ทันใดนั้น จู่ ๆ ก็,y
praktisch,Adj.,ใช้งานได้ มีประโยชน์,y
preiswert,Adj.,สมเหตุสมผล,y
prima,Adj.,เยี่ยม วิเศษ (p),y
probieren,V.,ลอง ชิม,y
problematisch,Adj.,ที่มีปัญหา,y
pünktlich,Adj.,ตรงเวลา,y
putzen,V.,ทำความสะอาด (สิ่งของ),y
rauchen,V.,สูบบุหรี่,y
recht,Adj.,ขวามือ ขวา ถูกต้อง,y
reden,V.,พูด (r),y
regelmäßig,Adj.,เป็นไปตามกฎ,y
regnen,V.,(ฝน)ตก,y
reich,Adj.,รวย,y
reinigen,V.,ทำความสะอาด (ทำให้สะอาด),y
reinkommen,V.,เข้า<b><i><u>มา</u></i></b>ข้างใน,y
reiten,V.,ขี่,y
retten,V.,ช่วยชีวิต ช่วยเหลือ,y
richtig,Adj.,ถูกต้อง,y
riechen,V.,มีกลิ่น,y
riesig,Adj.,ใหญ่มาก ใหญ่หลวง มหึมา,y
roh,Adj.,ดิบ,y
ruhig,Adj.,เงียบ,y
sächlich,Adj.,เพศกลาง,y
sagen,V.,บอก,y
salzig,Adj.,เค็ม,y
satt,Adj.,อิ่ม,y
sauber,Adj.,สะอาด,y
sauer,Adj.,เปรี้ยว,y
schade,Adj.,น่าเสียดาย,y
schaden,V.,ทำลาย,y
schälen,V.,ปอกเปลือก,y
scharf,Adj.,เผ็ด,y
schauen,V.,มอง,y
scheinen,V.,(ดวงอาทิตย์)ส่องแสง ปรากฏ,y
schick,Adj.,ชิค มีสไตล์,y
schkimm,Adj.,แย่ ไม่พึงประสงค์,y
schlafen,V.,นอนหลับ,y
schläfrig,Adj.,ง่วง อยากนอน,y
schlank,Adj.,ผอม,y
schlecht,Adj.,แย่ ห่วย ไม่ได้เรื่อง,y
schließen,V.,ปิด,y
schmecken,V.,มีรสชาติ,y
schmutzig,Adj.,สกปรก (!d),y
schneiden,V.,ตัด,y
schneien,V.,(หิมะ)ตก,y
schnell,Adj.,เร็ว,y
schon,Adv.,แล้ว,y
schreiben,V.,เขียน,y
schreien,V.,กรี๊ด ตะโกน,y
schüchtern,Adj.,เขิน ขี้อาย,y
schwach,Adj.,อ่อนแอ,y
schwarz,Adj.,ดำ,y
schwer,Adj.,ยาก หนัก,y
schwimmen,V.,ว่ายน้ำ,y
schwul,Adj.,เกย์,y
schwül,Adj.,ชื้น,y
sehen,V.,เห็น,y
seit,Präp.,ตั้งแต่,y
selb,Adj.,เดียวกัน เหมือนกัน (en: same),y
selbst,Adv.,ด้วยตัวเอง,y
selten,Adv.,นาน ๆ ที แทบจะไม่,y
servieren,V.,เสิร์ฟ,y
shoppen,V.,ชอปปิง ซื้อของ,y
sich bedanken,V.,กล่าวคำขอบคุณ,y
sich beeilen,V.,รีบ เร่ง,y
sich bewegen,V.,เคลื่อนไหว,
sicher,Adj.,ปลอดภัย เชื่อถือได้ ไว้วางใจได้,y
sich unterhalten,V.,สนทนา,y
siebt,Adj.,ที่เจ็ด,y
